symbol,sector,exchange
TIPSMUSIC,Media Entertainment & Publication,NSE
TITAGARH,Capital Goods,NSE
TITAN,Consumer Durables,NSE
TORNTPHARM,Healthcare,NSE
TORNTPOWER,Power,NSE
TARIL,Capital Goods,NSE
TRANSRAILL,Capital Goods,NSE
TRAVELFOOD,Consumer Services,NSE
TRENT,Consumer Services,NSE
TRIDENT,Textiles,NSE
TRIVENI,Fast Moving Consumer Goods,NSE
TRITURBINE,Capital Goods,NSE
TIINDIA,Automobile and Auto Components,NSE
UCOBANK,Financial Services,NSE
UNOMINDA,Automobile and Auto Components,NSE
UPL,Chemicals,NSE
UTIAMC,Financial Services,NSE
UJJIVANSFB,Financial Services,NSE
ULTRACEMCO,Construction Materials,NSE
UNIONBANK,Financial Services,NSE
UBL,Fast Moving Consumer Goods,NSE
UNITDSPR,Fast Moving Consumer Goods,NSE
URBANCO,Consumer Services,NSE
USHAMART,Capital Goods,NSE
VGUARD,Consumer Durables,NSE
VMART,Consumer Services,NSE
VIPIND,Consumer Durables,NSE
V2RETAIL,Consumer Services,NSE
DBREALTY,Realty,NSE
WABAG,Utilities,NSE
VAIBHAVGBL,Consumer Durables,NSE
VTL,Textiles,NSE
VARROC,Automobile and Auto Components,NSE
VBL,Fast Moving Consumer Goods,NSE
MANYAVAR,Consumer Services,NSE
VEDL,Metals & Mining,NSE
VIJAYA,Healthcare,NSE
VIKRAMSOLR,Capital Goods,NSE
VMM,Consumer Services,NSE
VIYASH,Healthcare,NSE
IDEA,Telecommunication,NSE
VOLTAMP,Capital Goods,NSE
VOLTAS,Consumer Durables,NSE
WAAREEENER,Capital Goods,NSE
WAAREERTL,Capital Goods,NSE
WAKEFIT,Consumer Durables,NSE
WEWORK,Services,NSE
WEBELSOLAR,Capital Goods,NSE
WELCORP,Capital Goods,NSE
WELENT,Construction,NSE
WELSPUNLIV,Textiles,NSE
WESTLIFE,Consumer Services,NSE
WHIRLPOOL,Consumer Durables,NSE
WIPRO,Information Technology,NSE
WOCKPHARMA,Healthcare,NSE
YATHARTH,Healthcare,NSE
YESBANK,Financial Services,NSE
ZFCVINDIA,Automobile and Auto Components,NSE
ZAGGLE,Information Technology,NSE
ZEEL,Media Entertainment & Publication,NSE
ZENTEC,Capital Goods,NSE
ZENSARTECH,Information Technology,NSE
ZYDUSLIFE,Healthcare,NSE
ZYDUSWELL,Fast Moving Consumer Goods,NSE
ECLERX,Services,NSE
